productId,name,color,price,productAdjective,productMaterial
f6694ef7-c3a4-4ed2-88ff-0491b53a2810,Handcrafted Steel Hat,orchid,509.00,Generic,Cotton
121b7d12-25ff-4498-b6e9-ba26ff90ad3b,Intelligent Plastic Chicken,green,286.00,Rustic,Steel
a796af38-5371-4f41-b586-973e20b1466d,Ergonomic Frozen Table,purple,61.00,Tasty,Concrete
874d1879-de07-42a6-b4c9-9201c3800513,Gorgeous Rubber Shoes,teal,887.00,Intelligent,Rubber
bd282bba-338b-4658-bc7f-39b5977fadd5,Ergonomic Steel Soap,lavender,309.00,Practical,Granite
4880a1c7-0009-4620-bd07-9375f8bfa5fa,Rustic Frozen Bike,olive,691.00,Fantastic,Granite
9b3c9ef9-253b-4ee6-a25a-27a1dfbe5de9,Refined Plastic Hat,orchid,497.00,Practical,Fresh
0b0167c8-f8c3-4078-a282-c9880a047519,Intelligent Cotton Fish,sky blue,181.00,Unbranded,Wooden
deb8621f-e6c1-4b40-bc80-dca41351114f,Generic Steel Shirt,cyan,721.00,Practical,Rubber
a079f79e-89a3-45c6-b32d-ad56de0b999e,Ergonomic Frozen Towels,fuchsia,485.00,Licensed,Metal
340c9bb6-ad0c-4234-965c-ede1cdff42df,Unbranded Plastic Pizza,azure,407.00,Gorgeous,Rubber
2b21b9a0-058f-4932-af0e-6204da21e9a8,Handmade Wooden Bike,indigo,265.00,Licensed,Rubber
47c34d86-cf7b-4815-aa81-08c3d1504899,Ergonomic Rubber Hat,indigo,464.00,Fantastic,Granite
a1acf144-7da9-4d45-98fc-d37855db2023,Rustic Wooden Salad,orchid,15.00,Rustic,Wooden
88cd46cf-a0ba-4493-9a2b-134050e3a693,Unbranded Plastic Bacon,sky blue,642.00,Handcrafted,Frozen
05a7777f-fedb-4368-a78f-3176f43ef75d,Rustic Metal Bike,fuchsia,981.00,Tasty,Concrete
5588f6d9-b704-4fc7-92c5-726118dd4ae7,Handcrafted Concrete Shirt,grey,929.00,Sleek,Granite
05b6ca6d-f313-49af-8547-05e3144140fd,Refined Steel Tuna,green,618.00,Handmade,Granite
78ec76b0-d212-4ef9-943a-9c5a47992b86,Unbranded Plastic Car,violet,587.00,Handcrafted,Rubber
7857f8b2-1dd0-4ad1-9d2b-eb30b401844d,Incredible Soft Salad,ivory,354.00,Generic,Granite
26461d27-b8e6-4a4d-81b9-e36a80cd9e0f,Incredible Fresh Mouse,lime,41.00,Ergonomic,Concrete
4e804df1-4360-43fa-be8f-dc8d0e72c2ed,Awesome Metal Pants,green,288.00,Generic,Granite
013c5738-34cb-4d31-95e3-76a8c1e5dedd,Tasty Cotton Chips,gold,722.00,Handmade,Frozen
36bc842c-8122-4e65-99e0-27650209ab57,Ergonomic Wooden Ball,plum,37.00,Handmade,Steel
6c271ae4-d747-4cd6-9b3b-3d8790b6a03f,Tasty Cotton Bacon,mint green,458.00,Awesome,Plastic
13c75afc-792a-436c-83f7-8e45ae03a8a6,Rustic Cotton Towels,azure,318.00,Practical,Cotton
3bfd9e28-9c32-4ec6-b96c-4e77e5020630,Licensed Plastic Shirt,purple,16.00,Generic,Plastic
3c54c4ba-4a9f-4f7b-bcc9-55da1df9472d,Incredible Concrete Hat,pink,999.00,Gorgeous,Frozen
ab9bedd1-6745-4f4e-b88f-ce5d09e0de41,Ergonomic Rubber Gloves,lime,4.00,Fantastic,Cotton
8e73d4ae-4be1-4928-9278-92354d5b3ba1,Incredible Soft Table,violet,358.00,Handcrafted,Fresh
73a591c1-5097-4c1a-a2cd-2d6d910d3a8a,Sleek Fresh Soap,orange,550.00,Handmade,Rubber
ab705895-23ba-4cf0-9b5b-58d5636fabfe,Tasty Plastic Chair,orange,113.00,Gorgeous,Rubber
0c41ed6e-5e64-4c0e-b5b7-f2afa4ebf71d,Sleek Plastic Sausages,sky blue,692.00,Gorgeous,Granite
f9922fb3-669b-4a86-88f1-cfecf4f82919,Sleek Plastic Shirt,sky blue,383.00,Small,Granite
c63b8cde-7cce-4bcc-afc5-8f17b63fde97,Refined Fresh Bike,olive,489.00,Incredible,Metal
46a0163f-c77f-4986-9cf1-3662c52fc524,Refined Concrete Car,orchid,469.00,Practical,Soft
15e83566-a9b2-4647-a8b2-c06d1b509389,Gorgeous Fresh Gloves,violet,908.00,Incredible,Granite
837ad679-a4f4-425f-a989-801d1711e82b,Gorgeous Granite Cheese,ivory,347.00,Unbranded,Frozen
c726cb2b-c42a-40c8-ae94-3c5f3fea2da4,Ergonomic Plastic Fish,orange,602.00,Licensed,Metal
3e816396-bb57-4aad-bfe6-ff5cc4a846c5,Licensed Frozen Soap,indigo,533.00,Licensed,Wooden
6a14a7a2-effd-4bd9-a5ac-8a69bad7422d,Handcrafted Soft Tuna,green,175.00,Intelligent,Wooden
2bdb647a-5d72-4718-ac9e-ed89b4688fd8,Sleek Rubber Keyboard,sky blue,632.00,Generic,Cotton
828cd28a-937c-493a-bf0d-1883bad49fb6,Rustic Cotton Keyboard,purple,823.00,Awesome,Granite
70163cb8-70e4-4d78-aca9-7fe310c02a90,Refined Fresh Shoes,salmon,768.00,Handcrafted,Frozen
be2aafed-de5c-42bc-a969-b83b8d48b262,Tasty Frozen Mouse,white,29.00,Generic,Plastic
5a35c1d7-3fa6-498d-adf5-9b88239308ee,Generic Concrete Gloves,gold,179.00,Sleek,Wooden
42fd488c-3779-4a60-b8be-15aa08d27097,Gorgeous Steel Soap,white,122.00,Generic,Granite
ac40962f-a962-4c7c-a1ec-7bb6ae15b47a,Unbranded Rubber Chair,green,115.00,Incredible,Frozen
f6ce101e-e396-4c6b-b9d2-c1006ede4713,Incredible Soft Bacon,magenta,671.00,Sleek,Wooden
03297672-d842-4932-9672-be69a8bad289,Intelligent Soft Cheese,plum,934.00,Handcrafted,Rubber
44d875d3-a5dd-49b7-9313-21ba0e78d983,Practical Concrete Bike,tan,895.00,Unbranded,Plastic
dc9b3e01-cc0d-4d85-81e1-01d6c8511f1e,Rustic Concrete Table,yellow,295.00,Handmade,Granite
863315a7-1b88-4c96-9389-cb02733bca49,Tasty Cotton Pizza,purple,899.00,Awesome,Metal
f09be089-64c6-41e3-992f-ad67d4403cd9,Sleek Steel Chicken,pink,597.00,Generic,Soft
00847277-efaf-484a-8e04-33c679dba69c,Practical Cotton Sausages,turquoise,565.00,Generic,Frozen
674aacb2-e15c-4287-b028-ebeff8953008,Gorgeous Cotton Shirt,silver,679.00,Sleek,Cotton
21fbd7d5-ce1d-442f-accc-9d88101846ab,Awesome Plastic Computer,white,868.00,Awesome,Rubber
22c62481-1e51-4572-a7be-8568cc6b5520,Ergonomic Fresh Pizza,cyan,803.00,Refined,Granite
a9168025-1827-4a89-83b6-66c600a4fbcf,Refined Frozen Bacon,green,538.00,Handmade,Fresh
b42aed84-eb3c-40c4-9147-144d27f29b45,Handcrafted Concrete Computer,turquoise,643.00,Licensed,Concrete
c5e980c6-705a-4275-95a5-157148d62d36,Fantastic Cotton Gloves,teal,553.00,Handmade,Rubber
584128e7-a298-4ea1-b202-60becff2126b,Awesome Fresh Keyboard,indigo,372.00,Awesome,Soft
2d5ec576-9343-428b-83ca-0a327554fd3b,Fantastic Concrete Bike,violet,727.00,Sleek,Cotton
fdfba12c-b595-49db-bfa6-e1558e693f2c,Rustic Plastic Keyboard,green,860.00,Tasty,Frozen
58bedfd8-a06a-4b6c-a1ec-8fc502eb4f0a,Unbranded Frozen Chips,silver,909.00,Awesome,Steel
737256d6-40ff-45f2-9225-eca29c89261c,Small Granite Chicken,gold,727.00,Incredible,Rubber
53574934-23c8-49b2-a8a3-0102180f21cd,Sleek Granite Tuna,olive,890.00,Small,Frozen
bcfb5f88-8a00-48c7-8d3b-897d554a4808,Unbranded Frozen Table,grey,862.00,Ergonomic,Metal
0e32ed09-ff55-4ed3-af17-ea32412aa702,Tasty Plastic Sausages,white,931.00,Rustic,Metal
1014f02f-d391-4744-a31e-1eb6e7db58bc,Handmade Rubber Shoes,teal,692.00,Sleek,Concrete
7f9ee353-355c-4cf2-8628-cf293caaf22b,Rustic Steel Table,violet,200.00,Unbranded,Concrete
c45e4715-0bac-4ed9-bae0-296a721f9b63,Incredible Steel Car,plum,168.00,Handmade,Granite
458d170d-16df-47bc-a966-8993ac4e84c8,Small Concrete Salad,magenta,349.00,Handmade,Concrete
d5ba0157-4620-46d4-abaf-17fc9c72ef0e,Rustic Fresh Shoes,black,197.00,Tasty,Soft
995f6dd8-2345-4acb-ad07-8ca6dbdc1df9,Awesome Fresh Tuna,magenta,542.00,Fantastic,Frozen
abd006e8-7d20-4381-b36e-5bf9f0007a13,Licensed Cotton Ball,violet,489.00,Generic,Soft
e33db216-0af9-48b0-869d-a37a6c9778c9,Gorgeous Rubber Shirt,azure,570.00,Practical,Soft
89acbf7c-52f2-4fd4-b791-f212e2cac6fa,Refined Frozen Chips,lime,747.00,Gorgeous,Fresh
b23b955b-3ee1-4818-a1d7-3d74e61fd0b2,Refined Frozen Car,indigo,715.00,Gorgeous,Cotton
